27,전세금(보증금)을 담보로 대출이 가능하나요?,전세자금대출은 전세금(보증금)을 직접 담보로 취급하지 않으며 대출 자격요건이나 주택 유형별로 고객님의 신용으로 주택금융공사 보증서 & 서울보증보험 보증서 & 주택도시보증공사 보증서를 담보로 취급하게 됩니다.
28,인터넷예금담보대출을 신청하면 언제 입금 되나요?,은행영업일 09시 ~ 18시에 신청하신 대출은 고객센터에서 본인신청사실 유선확인을 실시합니다.
29,대출금을 갚는데도 수수료가 나오나요?(중도상환수수료),대출금을 중도에 상환하는 경우 중도상환해약금이 부과됩니다.
30,마이너스 통장도 일반대출과 동일하게 운용됩니다.,먼저 신용대출 또는 담보대출(예적금담보 포함)로 가능여부 및 가능금액 심사를 받아야 합니다. 심사 후 대출금액이 산정되면 상환방법을 마이너스 통장으로 선택하시면 됩니다.
31,대출 소득공제 요건이 어떻게 되나요?,장기주택저당차입금 상환액 공제는 무주택 또는 1주택을 보유한 세대의 세대주(예외적으로 세대원)인 근로자가 취득 당시 기준시가 4억원 이하인 주택(주거용 오피스텔 제외)을 취득하기 위하여 해당 주택에 저당권을 설정하고 금융회사 & 주택도시기금으로부터 차입한 자금의 이자 상환액에 대해 소득공제 하는 것을 말합니다.
32,인터넷뱅킹상에서 타인의 대출금 상환이 가능한지요?,불가능합니다.
33,현재 월세로 살고 있는데 전세로 계약을 갱신하여 전세자금 대출 신청을 할 수 있습니까?,계약갱신의 경우에는 계약갱신일(월세에서 전세로 전환한 경우에는 전환일)로부터 3개월 이내에 대출신청 가능 합니다.
34,예금을 담보로 대출 받으면 바로 입금되나요?,예금담보대출은 신청시점에 금융기관 연체 및 신용정보관리대상 등재 등 대출에 제한되는 사항이 없다면 신청 후 즉시 실행되는 상품입니다.
35,대출 이자 납입일을 확인할 수 있나요?,대출이자 납입일 확인은 신한은행 지점 & 신한은행 홈페이지 & 신한 쏠 & 고객상담센터 상담사를 통해 확인이 가능합니다.
36,대학생/청년 햇살론 신청기준 알려주세요.,신한 대학생 & 청년 햇살론상품은 신용회복위원회 보증을 통해 대학생 및 청년에게 생활자금을 지원하거나 제2금융권 고금리대출을 저금리 대출로 전환하여 원리금 상환 부담을 완화하는 은행권 공동 대출상품입니다.
37,학자금대출을 은행에서 받을 수 있나요?,학자금대출은 한국장학재단에서 취급하므로 한국장학재단 홈페이지(www.kosaf.go.kr) 또는 대표번호 1599-2000번을 통해 상담받으시기 바랍니다.
38,ARS로 대출관련 조회가 가능한가요?,가능합니다. 대출계좌 보유고객은 폰뱅킹 가입여부와 관계없이 예금계좌번호와 비밀번호 입력 후 조회가 가능합니다.
39,인터넷대출 신청시 신용정보조회를 했는데 이 내용을 삭제하고 싶습니다.,정당한 절차에 의한 신용정보조회는 임의로 삭제가 불가합니다.
40,대출 소득공제 자격요건이 무엇인가요?,소득세법 및 관련 규정에서 정한 요건을 충족한 경우에만 소득공제 혜택을 받을 수 있으며 인터넷 발급 증명서는 현 대출의 대출기간 요건을 기준으로 발행된 것으로 실제 공제가능여부에 대한 판단은 개별적인 확인을 요합니다.

