index,nlp_question,question,answer
48,현재 현재 현재 현재 현재 현재 현재 현재 현재 현재 현재 현재 ,현재 월세로 살고 있는데 전세로 계약을 갱신하여 전세자금 대출 신청을 할 수 있습니까?,계약갱신의 경우에는 계약갱신일(월세에서 전세로 전환한 경우에는 전환일)로부터 3개월 이내에 대출신청 가능 합니다.
49,예금 예금 예금 예금 예금 ,예금을 담보로 대출 받으면 바로 입금되나요?,예금담보대출은 신청시점에 금융기관 연체 및 신용정보관리대상 등재 등 대출에 제한되는 사항이 없다면 신청 후 즉시 실행되는 상품입니다.
50,대출 대출 대출 대출 대출 대출 대출 ,대출 이자 납입일을 확인할 수 있나요?,대출이자 납입일 확인은 신한은행 지점 & 신한은행 홈페이지 & 신한 쏠 & 고객상담센터 상담사를 통해 확인이 가능합니다.
51,대학생 대학생 대학생 대학생 대학생 대학생 ,대학생/청년 햇살론 신청기준 알려주세요.,신한 대학생 & 청년 햇살론상품은 신용회복위원회 보증을 통해 대학생 및 청년에게 생활자금을 지원하거나 제2금융권 고금리대출을 저금리 대출로 전환하여 원리금 상환 부담을 완화하는 은행권 공동 대출상품입니다.
52,학자금 학자금 학자금 학자금 학자금 학자금 ,학자금대출을 은행에서 받을 수 있나요?,학자금대출은 한국장학재단에서 취급하므로 한국장학재단 홈페이지(www.kosaf.go.kr) 또는 대표번호 1599-2000번을 통해 상담받으시기 바랍니다.
53,ARS ARS ARS ARS ,ARS로 대출관련 조회가 가능한가요?,가능합니다. 대출계좌 보유고객은 폰뱅킹 가입여부와 관계없이 예금계좌번호와 비밀번호 입력 후 조회가 가능합니다.
54,인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 ,인터넷대출 신청시 신용정보조회를 했는데 이 내용을 삭제하고 싶습니다.,정당한 절차에 의한 신용정보조회는 임의로 삭제가 불가합니다.
55,대출 대출 대출 대출 대출 ,대출 소득공제 자격요건이 무엇인가요?,소득세법 및 관련 규정에서 정한 요건을 충족한 경우에만 소득공제 혜택을 받을 수 있으며 인터넷 발급 증명서는 현 대출의 대출기간 요건을 기준으로 발행된 것으로 실제 공제가능여부에 대한 판단은 개별적인 확인을 요합니다.
56,대출 대출 대출 대출 ,대출 및 예금 이율을 알려주세요., 새마을금고는 각각 독립법인으로 대출 및 예금 이율은 새마을금고마다 다르게 운영되고 있습니다. 새마을금고홈페이지(www.kfcc.co.kr) 의 전국새마을금고 위치검색에서 개별새마을금고의 위치. 금리. 연락처를 조회하실 수 있으니 상세한 금리는 거래하시고자 하는 금고로 문의하시기 바랍니다.
57,새 새 새 새 ,새마을금고 세금우대저축이란 무엇인가요?,세금우대저축이란 2015년 말까지 예금이자에 대한 이자소득세가 전액 비과세 되는상품(농특세 1.4%부과)으로 1인당 3.000만원까지 가입하실 수 있습니다. 세금우대저축으로 가입하시려면 새마을금고 회원으로 가입하셔야 하며 새마을금고에 출자 1좌 이상을 현금으로 납입하셔야 합니다.
58,다른 다른 다른 다른 다른 다른 ,다른 새마을금고에서 예금을 해지할 수 있나요?,예금을 가입하신 새마을금고에서 해지 못하실 경우 다른 새마을금고에서도 해지가 가능합니다. 단 출자금은 개설한 새마을금고에서만 해지 가능하나 가까운 새마을금고를 방문하시면 출자금 해지관련 서류 접수 후 개설한 금고로 통보하고 개설금고에서 해지하여 송금해 드립니다.
59,휴면 휴면 휴면 휴면 휴면 휴면 휴면 휴면 휴면 휴면 ,휴면예금을 찾고 싶은데 가입금고 & 계좌번호 & 비밀번호를 알려주세요.,2011년 7월 4일부터 새마을금고 홈페이지(www.kfcc.co.kr)에서 휴면예금을 조회하실 수 있습니다. 간편조회와 공인인증서조회로 구분되며 간편조회는 보유금고수와 예금건수만 조회되며 공인인증서로 본인 인증 후에는 금고명 & 계좌번호 & 잔액까지조회하실 수 있습니다.
60,은행 은행 은행 은행 은행 은행 은행 은행 은행 은행 ,은행(다른 새마을금고를 포함한 모든 금융기관)에서 새마을금고 적금으로 계좌이체가 가능한가요,가능합니다. 다만 차세대통합 이전의 적금계좌(9가 아닌 다른 숫자로 시작됨)를 가지고 계신 경우 개설금고에서 신 계좌번호(자동부여됨)를 확인하신 후 신계좌번호로 자동이체 설정하셔야 합니다.
61,자동 자동 자동 ,자동이체 신청 및 해지는 어떻게 하나요?,당행 & 타행 & 지로자동이체에 따라 다릅니다.
