47,인터넷뱅킹 이용시간에 대해서 알려주세요.,매일 00:00 ~ 00:10(금요일은 00:00 ~ 00:40)은 시스템 일자전환 또는 매월 둘째 일요일 02:00 ~ 06:00 은 시스템 정기점검으로 서비스 이용이 제한되며 이용하시는 업무에 따라 이용가능 시간이 다르므로 우리은행 홈페이지 內「이용시간안내」를 참조하여 주시기 바랍니다.
48,로그인 시도중 이용자비밀번호 3회 오류가 되었습니다. 어떻게 해야 하나요?,개인고객님은 아래에 안내된 각 매체별 '이용자비밀번호 3회 오류해제 가능 조건'이 충족된다면 영업점 방문없이 3회 오류를 해제할 수 있습니다.
49,이용자비밀번호를 모르는 경우 어떻게 해야 하나요?,개인고객님은 인터넷/스마트뱅킹에서 이용자비밀번호를 재등록할 수 있으므로 새로운 비밀번호를 등록하시면 됩니다. 이용자비밀번호 재등록은 이용자비밀번호 오류회수가 없거나 3회 미만인 경우에만 가능합니다.
50,인터넷뱅킹 이용자아이디를 인터넷에서 확인할 수 있나요?,고객님께서 인터넷뱅킹을 영업점에서 처음 신청하실 때 이용신청서에 기재하신 아이디입니다. 공인인증서 발급 & 재발급 & 장기미사용자이용등록 등의 서비스 신청 시 입력이 필요하며 개인 인터넷뱅킹의 경우 인터넷뱅킹에서 이용자ID 조회가 가능합니다.
51,타행에서 발급한 OTP를 등록해 사용할 수 있나요?,타행에서 발급한 OTP를 농협에 등록하여 사용하실 수 있습니다.
52,공인인증서 암호를 모르겠습니다. 변경할 수 있나요?,공인인증서 암호 변경은 현재 인증서의 암호를 알고 계실 경우 변경이 가능합니다.
53,인터넷뱅킹 비밀번호는 어떤 것이 있나요?, 인터넷뱅킹에서 이용하시는 비밀번호로는 인증서암호 & 초기비밀번호 & 보안카드(OTP)번호 & 계좌(통장)비밀번호 등이 있습니다.
54,인터넷 뱅킹에서 특정 거래내역을 삭제할 수 있나요?,인터넷뱅킹에서 특정일자의 거래내역 삭제는 불가합니다. 또한 입출금계좌에 대해서는 통장정리되지 않은 내역을 생략하실 수 있지만 생략 후에도 인터넷뱅킹의 거래내역 조회화면에서는 조회가 가능합니다.
55,계좌 비밀번호 변경하려면 꼭 영업점으로 방문해야 하나요?,인터넷뱅킹 이체 회원으로 가입되어 있고 기존 비밀번호를 알고 있다면 영업점 방문없이 홈페이지를 통해 계좌 비밀번호를 변경하실 수 있습니다.(계좌 비밀번호 3회오류시 제외)
56,인터넷뱅킹에서 이체거래 확인증 출력할 수 있나요?,네 가능합니다.
57,해외에서 인터넷뱅킹 사용이 가능한가요?,해외에서 인터넷뱅킹 사용을 하시는 것은 가능합니다.
58,인터넷뱅킹 거래는 안전한가요 ?,예. 그렇습니다.
59,인터넷뱅킹 회원 가입해지를 하려면 어떻게 해야 하나요?,인터넷뱅킹 회원 가입 해지는 인터넷에서도 가능합니다. 홈페이지 - 뱅킹관리 - 뱅킹정보관리 인터넷뱅킹해지를 선택하신 후 해당사항을 입력하시면 해지가 가능합니다. 조회만 가능한 회원도 해지가 가능하지만 손님의 개인정보 및 비밀번호를 분실하셨을 때에는 가까운 영업점으로 통장 & 도장 & 주민등록증을 지참 후 방문하시어 해지 신청을 하셔야 합니다.
60,인터넷에서 통장 해지를 할 수 있나요 ?,인터넷상에서 가입한 통장이라면 해지처리가 가능합니다. 그러나 지점에서 가입한 통장은 인터넷을 통해 해지하실 수 없습니다.

