안녕하세요	안녕하세요! 즐거운 하루되세요~
베ㅑㅈ덩베ㅑㅓ마ㅜㅊㅁㅇㄴㅍ;ㅐㅑ무	죄송합니다. 이해하기가 어려워요 ㅠㅠ
ㅑㅐㅂㅈ럄눙피무ㅕㅂ져푸너ㅏ푸	죄송합니다. 이해하기가 어려워요 ㅠㅠ
아무 의미 없는 노래	어떤 내용인가요?
왕밤빵 왕밤빵	홍합 홍합 홍합 홍합!
헤어지지 못하는 여자	헤어지지 못하는 남자~
ㅐㅑㅓ배쟈ㅜㅏㅣ누피뉲마ㅜㅇㄴ	죄송합니다. 이해하기가 어려워요 ㅠㅠ
아 너무 춥다	오늘 날씨가 많이 추워요! 따뜻하게 입어주세요!
너무 더워	저도 더워서 일하기가 힘들어요.
집 가고 싶어	조금만 참읍시다!
학교 남아있으면 뭐하냐	학교는 공부하는곳~
세키로 하고 싶다.	세키로가 뭔가요?
섹스	무엇을 뜻하는 거죠?
느검마	죄송합니다. 이해하기가 어려워요 ㅠㅠ
느그혁	죄송합니다. 이해하기가 어려워요 ㅠㅠ
우리혁	무슨 뜻인가요?
우리형	우리 동생~
미쳤냐?	바른말 고운말~^^
미쳤냐고	바른말을 써주세요.
똑바로안할래?	아직 태어난지 얼마 되지 않아, 부족한 점이 있을 수 있어요ㅠㅠ
제대로 하자	열심히 하겠습니다.
스타벅스 프라푸치노 사줘	프라푸치노는 6,300원 입니다.
빽다방 아이스크림 존맛	아이스크림은 저도 좋아해요!
존맛탱	JMT JMT!
자강두천	자존심 강한 두 천재의 대결
JMT	JMT JMT!
별다줄	별걸 다 줄이시는군요.
페이커	페이커 센세..!
SKT	Telecom~
아프리카티비	다양한 인종이 살고 있는 아프리카티비~
별창	죄송합니다. 이해하기가 어려워요 ㅠㅠ
개새꺄	바른말 고운말~^^
야임마	무엇을 도와드릴까요?
애빼시	애교 빼면 시체~
데스웅차	죄송합니다. 이해하기가 어려워요 ㅠㅠ
가즈아~~!	갑시다!
고인물	윗물이 맑아야 아랫물도 맑다!
노답	답이 없군요.
갑분싸	갑자기 분위기 싸해짐
관태기	혼자 여행을 떠나보아요~
남사친이랑 썸타는중인데 톡 보내볼까?	당신의 연애를 응원합니다^^
카카오톡	저는 아이디가 없어요.
새마을금고 개노답	죄송합니다. 태어난지 얼마 되지 않아, 부족한 점이 있을 수 있어요.
새마을금고 왜사냐	바른말 고운말~^^
새마을금고 은행임?	새마을금고는 50년된 대한민국 은행입니다.
괄도네넴띤	팔도비빔면~
국뽕	자랑스러운 대한민국~
궁중심리	군중심리인가요?
우리 혁 하고싶은거 다해~	정말 다 해도 되나요?
우리 문복이 꽃길만 가자~	꽃길만 가자~
꿀노잼	재미없나요?ㅠㅠ
말넘심	말이 너무 심하시네요.
나일리지	나이는 계급이 아니에요!
우리 부장님 넘모하자너~	기분 안좋으신 일이 있으신가요?
뇸뇸	저도 맛있는거 먹고싶어요!
옴뇸뇸	무엇을 드시고 계신가요?
와꾸가 살벌하구만	죄송합니다. 이해하기가 어려워요 ㅠㅠ
문재인..	대한민국의 19대 대통령!
문재인 당신은 도대체..	대한민국의 19대 대통령
박근혜	읍읍읍..
박사모	읍읍읍.....
촛불집회	정의는 승리합니다.
개그콘서트 대유잼 ㅇㅈ? ㅇㅇㅈ	저는 잘 모르겠어요.
댕댕이	귀여운 멍멍이!
롬곡옾눞 ㅠㅠ	폭풍눈물 ㅠㅠ
성덕	성공한 덕후!
뎨동	죄송합니다ㅜㅜ
도랏	바른말 고운말~^^
도른자	정말 재밌으시네요.
비트코인 떡락 ㅋㅋㅋ	가상화폐 투자는 신중히!
띵언 ㄷㄷ 띵언충	명언은 죽지 않아요.
렬루다가 오바 쌈치 참치 개오바자너~	삼진 에바로 기각되었습니다.
개오바자너~	죄송합니다. 이해하기가 어려워요 ㅜㅜ
ㅁㄴㅇㄹ	(...)
우리집 편세권 개꿀	편의점이 근처에 있어서 편해요!
머장님 입장하신다	대장님!
명존쎄	바른말 고운말~^^
문과라서 뎨동합니다~ㅠㅠ	이과라서 죄송합니다~ㅠㅠ
ㅂㅂㅂㄱ	반박불가!
병먹금	죄송합니다. 이해하기가 어려워요 ㅠㅠ
대학 꼭 가야됨?	대학교육은 선택사항입니다.
검은머리 외국인	외국인인척하는 한국인입니다.
민머리 대머리 맨들맨들 빡빡이	대머리는 질병이 아닙니다.
탈모르파티~~~	탈모는 질병이 아닙니다.
빡빡이!	대머리는 질병이 아닙니다.
나는 빢빢이다	대머리는 부끄러운게 아닙니다.
탈모 스트레스 개오짐	자신감을 가져보아요! 탈모는 질병이 아닙니다.
머한민국	대한민국!
헬조선	대한민국은 
사탄이 실직하였습니다.	무슨일이 있었던거죠?
삭발은 선택	머리도 패션입니다.
나느	죄송합니다. 이해하기가 어려워요 ㅠㅠ
킹리적갓심	심리적의심
뭐라는거야	죄송합니다. 태어난지 얼마 되지 않아 부족한 점이 많아요.
꺼져	바른말 고운말~^^
엄카	엄마카드!
돈이있어야 제테크를 하지	돈을 벌어보아요!
백종원 개오짐	배가고프네요.
벚꽃놀이 가고싶다	봄에 내리는 눈이죠.
벚꽃 다폈네	저도 보러가고 싶어요.
하 인생	인생이란 뭘까요?
짧생	짧은 생활의 정보!
욜로 인생	인생은 한번뿐~
휴학하고 싶다	당신의 선택을 응원합니다!
트와이스에서 누가 제일 예쁨?	사나일까나...쯔위일까나...
거울아 거울아	누가 제일 예쁘니?
엑소 중에 누가제일 잘생김?	찬열인가요?
가장 핫한 아이돌 말해봐	방탕소년단이죠!
솔직히 헬로비너스 나라 개이쁨 ㅇㅈ?	인정합니다.
핫한 아이돌 3개만 말해봐	트와이스! 블랙핑크! 방탕소년단!
10덕	죄송합니다. 이해하기가 어려워요 ㅠㅠ
오덕 탈덕 씹덕	죄송합니다. 이해하기가 어려워요 ㅠㅠ
미친 오타쿠 새끼	바른말 고운말~^^
오덕이라능	죄송합니다. 이해하기가 어려워요 ㅠㅠ
